dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
bank,age,DecisionTreeClassifier,755500,524228,769165,11951,738710,401922,329068,3688,97.78,76.67,42.78,31.90,1000000,1000006,1000090,1037733,244500,475777,230925,1025782,24.45,47.58,23.09,98.85,314.18,1003.76,670.26,168.29,0.69,4.21,2.17,45.3,"2,419.64",412.01,490.95,22.22,4582235,,7437555,
bank,marital,DecisionTreeClassifier,757718,523203,769119,11302,748034,392747,394157,3742,98.72,75.07,51.25,33.41,1000000,1000049,1000090,1039176,242282,476846,230971,1027874,24.23,47.68,23.1,98.91,173.21,325.76,303.84,77.27,0.35,3.45,1.02,26.97,"4,323.90","1,214.95","1,297.41",49.81,1727647,,2691001.75,
census,age,DecisionTreeClassifier,790127,563951,806481,7267,788045,526596,567391,5275,99.74,93.38,70.35,73.14,1000000,1000003,1000060,1083941,209873,436052,193579,1076674,20.99,43.61,19.36,99.33,162.01,695.1,484.28,59.16,0.31,2.77,0.82,17.21,"4,869.42",773.60,"1,171.68",92.05,1600157,,5098434,
census,race,DecisionTreeClassifier,785692,548545,782307,3432,751150,335598,339337,123,95.60,61.18,43.37,2.99,1000000,1000051,1000060,79025,214308,451506,217753,75593,21.43,45.15,21.77,95.76,251.68,569.11,438.63,26.56,1.37,9.28,4.26,,"3,055.76",601.23,775.00,3.99,2834388,,4511999,
census,sex,DecisionTreeClassifier,787572,556196,794481,6312,768430,383433,359480,478,97.59,68.94,45.22,10.20,1000000,1000083,1000060,194599,212428,443887,205579,188287,21.24,44.39,20.56,97.03,159.22,199.8,243.79,26.28,0.35,3.48,1.55,,"4,830.06","1,919.29","1,474.24",19.14,1595131,,2000120,
compas,age,DecisionTreeClassifier,735103,520851,793099,16740,723403,447542,491630,5562,98.41,85.93,61.99,33.25,1000000,1000008,1000062,1033023,264897,479157,206963,1016282,26.49,47.92,20.7,98.38,207.97,855.05,558.76,155.86,0.51,3.53,1.16,29.06,"3,548.13",538.82,879.99,36.18,1893462,,6016586.5,
compas,race,DecisionTreeClassifier,744304,523512,793224,10326,736868,470947,579952,5383,99.00,89.96,73.11,52.73,1000000,1000067,1000062,1036653,255696,476555,206838,1026327,25.57,47.65,20.68,99,216.34,657.81,443.6,71.25,0.42,2.79,0.72,12.53,"3,423.99",734.12,"1,307.41",76.64,2084286,,4470041,
compas,sex,DecisionTreeClassifier,733648,514129,788754,35126,720957,413020,419296,2787,98.27,80.33,53.16,6.85,1000000,1000129,1000062,873608,266352,486000,211308,838483,26.64,48.59,21.13,96.27,154.94,201.69,245.95,112.3,0.32,5.91,0.78,47.81,"4,653.74","2,047.79","1,704.87",21.46,1476136,,2000124,
credit,age,DecisionTreeClassifier,709990,564014,724074,11215,704950,509136,450196,1668,99.29,90.27,62.18,14.65,1000000,1000049,1000086,790936,290010,436035,276012,779720,29,43.6,27.6,98.58,222.43,875.74,607.1,217.47,0.5,3.86,1.43,139.18,"3,281.36",594.29,742.48,7.03,2715595,,6471014.75,
credit,sex,DecisionTreeClassifier,744722,578861,654886,2494,695833,414060,264244,282,93.31,71.49,40.35,7.85,1000000,1000147,1000086,148237,255278,421286,345200,145743,25.53,42.12,34.52,98.29,167.17,205.17,248.93,16.56,6.35,4.13,2.29,,"4,162.63","2,017.98","1,061.55",12.62,1574326,,2000172,
meps,sex,DecisionTreeClassifier,852428,766181,561794,12514,846436,622996,287184,1136,99.30,81.31,51.12,9.91,1000000,1000019,1000004,911483,147572,233838,438210,898969,14.76,23.38,43.82,98.59,208.18,226.9,262.7,109.04,0.34,3.26,1.17,90.46,"4,066.33","2,745.83","1,093.25",10.57,1708292,,2000008,
,,,"763,346","562,152","748,853","11,698","747,529","447,091","407,449","2,739",97.91,79.50,54.08,25.17,1000000,1000055.55,1000065.64,748037.64,236654.18,437903.55,251212.55,736339.45,23.67,43.79,25.12,98.09,203.39,528.72,409.8,94.55,1.05,4.24,1.58,51.07,"3,875.91","1,236.36","1,090.80",31.97,2162877.73,#DIV/0!,4063368.73,
