dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
bank,age,RandomForestClassifier,"245,279","54,734","129,660","9,817","240,684","42,416","69,186","3,812",98.13,77.45,53.36,39.58,327967,103943,168578,1031811,82687,49209,38917,1021993,25.22,47.36,23.09,99.05,3301.68,3301.67,3300.73,3567.44,21.38,109.69,50.78,1235.34,72.90,12.85,20.96,1.10,1184138,,1215494.75,
bank,marital,RandomForestClassifier,"517,171","177,835","332,632","16,266","489,334","109,253","124,131","3,172",94.67,61.39,37.32,19.57,696267,342708,432608,1030452,179096,164872,99976,1014185,25.7,48.1,23.11,98.42,3301.1,3300.91,3301.19,2617.68,14.05,63.99,39.5,794.5,148.23,33.10,37.60,1.23,1179550,,1196679,
census,age,RandomForestClassifier,"600,683","81,316","182,661","8,353","599,254","70,420","117,969","5,013",99.76,86.56,64.58,61.80,763300,144102,226498,1054473,162617,62786,43837,1046120,21.3,43.57,19.35,99.21,3301.11,3302.75,3301.5,1552.05,11.21,71.7,30.7,588.53,181.53,21.32,35.73,3.64,1195146,,1214892.2,
census,race,RandomForestClassifier,"332,711","98,424","191,845","6,387","302,010","40,892","63,024",238,90.73,41.38,32.85,3.35,441567,181920,254175,150747,108855,83496,62331,144360,24.73,45.9,24.49,95.65,3300.87,3300.61,3301.31,1490.97,28.57,173.97,196.79,,91.50,12.39,19.09,0.14,1187141,,1211647.4,
census,sex,RandomForestClassifier,"607,886","340,998","459,424","8,125","579,651","182,252","165,178",605,95.36,53.45,35.91,6.25,801867,608377,601301,245428,193981,267378,141877,237303,24.09,43.95,23.6,96.65,3300.83,3300.84,3301.11,733.25,11.5,43.56,85.63,899.88,175.61,55.21,50.04,0.70,1187462,,1202601.6,
compas,age,RandomForestClassifier,"406,955","54,766","129,391","36,923","386,824","34,745","47,970","2,572",94.99,63.18,37.08,6.78,594033,108159,169060,813187,187079,53393,39669,776264,31.61,49.31,23.47,95.44,3301.08,3303.52,3301.7,11565.02,32.7,176.96,141.48,5227.38,117.18,10.52,14.53,0.21,1186563,,1216179.5,
compas,race,RandomForestClassifier,"489,847","93,009","210,359","21,839","483,030","72,346","112,898","4,070",98.60,77.77,53.67,18.33,679633,179770,266427,891791,189786,86761,56068,869953,27.9,48.26,21.04,97.47,3300.96,3301.88,3301.18,4222.92,13.68,70.69,36.27,1857.12,146.33,21.91,34.20,0.96,1188188,,1205305,
compas,sex,RandomForestClassifier,"607,032","304,501","423,631","22,989","569,450","155,288","140,354",472,93.78,51.00,33.13,2.00,909382,607487,597996,371791,302350,302986,174365,348802,33.05,49.88,29.16,93.88,3284.81,3300.65,3301.34,1719.07,12.7,74.22,50.36,,173.32,47.05,42.51,0.26,1196768,,1195992,
credit,age,RandomForestClassifier,"332,350","65,860","124,863","9,695","312,362","39,246","58,303","2,407",94.33,58.47,46.69,24.70,486900,117553,172466,946616,154550,51694,47603,936921,31.76,43.98,27.6,98.97,3301.11,3302.54,3301.77,5530.24,27.81,152.62,68.9,2374.58,94.62,11.88,17.66,0.46,1196195,,1214894.5,
credit,sex,RandomForestClassifier,"595,610","335,069","422,175","16,608","536,066","148,610","114,837","1,259",90.00,44.35,27.22,7.76,893167,608671,598092,835887,297556,273602,175917,819279,33.21,44.95,29.41,98.05,3300.9,3300.73,3301.31,2650.4,12.55,44.61,65.2,2120.15,162.40,45.02,34.79,0.46,1172542,,1196184,
meps,sex,RandomForestClassifier,"591,464","464,819","334,111","12,130","550,701","206,664","98,103","1,476",93.11,44.46,29.36,12.15,687967,607228,596434,1057694,96502,142410,262322,1045564,14.02,23.45,43.98,98.85,3301.51,3301.11,3301.81,2434.43,13.57,32.41,82.05,1598.23,166.80,62.60,29.71,0.61,1165310,,1192867,
,,,"484,272","188,303","267,341","15,376","459,033","100,194","101,087","2,281",94.86,59.95,41.02,18.39,662004.55,328174.36,371239.55,766352.45,177732.64,139871.55,103898.36,750976.73,26.6,44.43,26.21,97.42,3299.63,3301.56,3301.36,3462.13,18.16,92.22,77.06,1855.08,139.13,30.35,30.62,0.89,,,,
