dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
bank,age,SVC,"782,004","336,515","736,061","9,404","682,151","199,527","316,093","1,043",87.23,59.07,42.93,9.58,1000000,665142,979518,434464,217996,328627,243457,425060,21.8,49.42,24.85,97.6,1333.19,3276.56,2771.91,708.99,5.18,292.48,21.09,530.65,513.84,61.17,115.78,1.34,3226458,,6859878,
bank,marital,SVC,"766,082","477,343","687,570","2,986","597,153","163,493","219,363",79,77.97,34.06,31.88,2.07,1000000,1000036,1000090,78671,233918,522693,312520,75685,23.39,52.27,31.25,95.88,745.6,1934.65,1214.71,79.26,3.43,579.01,21.27,,801.39,85.78,183.12,0.84,1943684,,2882250.5,
census,age,SVC,"815,255","269,828","720,962","10,630","706,006","141,487","284,151","1,807",86.61,52.28,39.35,14.98,1000000,482301,930446,506604,184745,212473,209485,495975,18.47,44.05,22.53,97.76,1786.13,3300.92,3301.55,700.39,6.59,568.13,28.38,376.5,397.02,42.86,86.07,2.38,3903520,,6982378.4,
census,race,SVC,"758,451","202,347","672,828","2,706","453,214","23,230","108,492",35,59.60,11.48,16.13,1.18,1000000,456628,1000060,50717,241549,254280,327232,48010,24.15,55.7,32.72,94.7,1378.83,3300.11,2310.88,127.83,12.22,1850.65,79.85,,329.25,7.04,46.96,0.29,2860305,,4817752.4,
census,sex,SVC,"726,415","413,642","668,284","1,530","330,771","27,951","63,501",8,45.55,6.47,9.51,0.37,1000000,1000100,1000060,25557,273585,586458,331776,24027,27.36,58.64,33.18,94.04,723.78,2383.62,1012.73,28.34,14.99,1491.21,62.76,,457.09,11.73,62.72,0.24,1454600,,2000120,
compas,age,SVC,"789,805","518,472","770,687","21,150","702,602","335,566","307,558","3,800",88.99,64.71,39.91,17.84,1000000,998267,1000062,945164,210195,479796,229375,924014,21.02,48.06,22.94,97.75,969.57,3012,1835.8,708.92,2.93,142.99,10.77,240.06,725.78,115.66,167.66,5.42,4506430,,8161989,
compas,race,SVC,"766,376","508,169","747,016","32,487","669,746","281,131","239,300","2,999",87.38,55.32,32.04,9.42,1000000,1000107,1000062,968304,233624,491938,253046,935817,23.36,49.19,25.3,96.67,679.65,2033.72,1278.62,793.96,2.58,181.74,10.2,271.37,987.01,141.79,187.16,3.87,3113332,,5608908.5,
compas,sex,SVC,"666,410","238,213","593,657","5,483","333,392","17,072","48,765",29,49.66,5.90,8.24,0.45,1000000,1000081,1000062,70585,333590,761868,406405,65101,33.36,76.18,40.64,91.98,337.73,808.15,513.22,42.07,6.21,477.22,27.6,,985.57,20.86,95.03,0.62,1501468,,2000124,
credit,age,SVC,"773,618","550,255","644,819","3,586","593,831","347,596","240,004",275,76.78,63.16,37.20,7.23,1000000,1000066,1000086,178170,226382,449811,355267,174584,22.64,44.98,35.52,97.93,458.36,1263.57,863.44,107.27,2.54,25.65,7.07,,"1,299.56",284.62,278.24,2.42,3942981,,6991385.5,
credit,sex,SVC,"632,779","361,694","619,820","1,011","147,279","17,122","27,929",1,23.42,4.68,4.51,0.05,1000000,1000144,1000086,26515,367221,638450,380266,25504,36.72,63.84,38.02,96.24,209.74,286.69,312.66,8.44,18.24,43.45,25.43,,713.07,59.72,89.34,0.07,1661780,,2000172,
meps,sex,SVC,"819,862","760,314","504,850","6,521","327,660","94,256","56,879",209,40.28,12.40,11.27,2.33,1000000,1000077,1000004,413637,180138,239763,495154,407116,18.01,23.97,49.52,98.22,545.21,1474.63,659.78,204.98,4.47,875.06,37.6,,610.86,63.92,86.22,0.76,1819498,,2000008,
,,,"754,278","421,527","669,687","8,863","503,982","149,857","173,821",935,65.77,33.59,24.82,5.95,1000000,872995.36,991866.91,336217.09,245722.09,451468.82,322180.27,327353.91,24.57,51.48,32.41,96.25,833.44,2097.69,1461.39,319.13,7.22,593.42,30.18,354.65,710.95,81.38,127.12,1.66,,,,
