dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
bank,age,Sequential,"240,782","21,098","107,580","9,326","219,696","12,212","39,343","2,350",91.24,63.27,36.50,25.28,319400,80467,141212,723339,78618,59368,33632,714012,24.61,81.85,23.82,98.71,3302.07,3305.4,3301.51,5725.59,41.76,695.11,175.09,2297.69,66.53,3.70,11.92,0.42,1068246,,1093714.75,
bank,marital,Sequential,"423,684","51,501","271,990","7,455","322,364","17,552","75,612",620,76.09,31.98,27.80,8.32,598200,289611,373262,306816,174516,238110,101273,299361,29.17,85.83,27.13,97.58,3301.21,3301.66,3301.09,1799.58,21.95,1032.16,120.17,,97.65,5.32,22.91,0.35,1071117,,1081544.5,
census,age,Sequential,"302,264","26,390","122,819","7,968","291,615","17,774","54,469","1,774",96.48,74.79,44.33,20.79,375000,82733,152427,470811,72736,56343,29608,462842,19.4,76.7,19.42,98.17,3301.29,3305.98,3301.5,3852.83,36.14,310.92,115.46,1441.89,88.33,5.38,16.50,0.47,1076477,,1090763,
census,race,Sequential,"315,109","30,634","178,686","8,192","270,029","7,736","53,778",696,85.69,21.30,30.09,8.00,390200,155955,236995,274804,75091,125321,58308,266612,19.24,85.61,24.6,97.02,3301.42,3300.36,3301.26,2294.07,32.44,2144.1,190.11,3107.35,81.79,2.34,16.29,0.26,1062734,,1085871,
census,sex,Sequential,"533,927","81,827","394,915","4,841","371,228","14,134","100,128",164,69.53,16.55,25.35,3.11,694800,527975,538005,118393,160873,446148,143090,113552,23.15,85.21,26.6,95.99,3301.76,3300.6,3301.14,585.69,23.18,1033.9,108.45,,112.43,4.28,30.33,0.24,1070994,,1076010,
compas,age,Sequential,"282,228","23,246","116,793","13,208","271,021","16,022","54,750","1,703",96.03,75.49,46.87,12.85,389800,81267,148680,495964,107572,58021,31887,482756,27.6,78.92,21.45,97.33,3301.01,3304.09,3301.75,6344.29,29.27,308.25,85.45,3753.92,82.10,4.85,16.58,0.27,1066777,,1087274,
compas,race,Sequential,"284,747","27,351","156,008","15,034","234,505","12,118","52,576",274,82.36,38.79,33.71,1.98,423600,129577,204782,257997,138853,102226,48774,242962,32.78,85.29,23.82,94.1,3301.18,3304.03,3301.24,4542.21,31.94,1201.55,108.06,,71.04,3.67,15.93,0.07,1065555,,1084145.5,
compas,sex,Sequential,"522,846","77,478","399,933","25,885","430,104","28,703","122,398","1,130",82.26,37.77,30.60,3.16,817800,527576,537390,562953,294954,450098,137457,537068,36.07,85.87,25.58,94.35,3302.07,3300.44,3301.18,2466.79,13.85,621.26,42.51,2011.71,130.25,8.70,37.08,0.34,1048856,,1074780,
credit,age,Sequential,"204,590","29,994","115,420","8,428","174,106","21,066","48,768","1,914",85.10,76.91,42.25,22.50,255800,92204,162219,782786,51210,62209,46798,774358,20.02,75.22,28.85,98.9,3301.48,3303.73,3301.28,6168.82,31.23,265.42,97.12,4088.99,52.74,6.38,14.77,0.35,1065557,,1086045.5,
credit,sex,Sequential,"525,650","83,720","367,141","9,070","329,834","28,968","75,727",578,62.75,32.70,20.63,6.43,662800,527266,536544,439994,137150,443546,169403,430924,20.69,84.72,31.57,97.94,3301.4,3300.54,3301.25,2155.09,17.03,217.89,69.23,,99.91,8.78,22.94,0.29,1054860,,1073088,
meps,sex,Sequential,"524,127","188,872","300,487","7,970","451,414","131,608","89,868","1,130",86.13,77.58,29.91,14.73,602800,522400,534846,1035666,78673,333528,234359,1027695,13.05,64.54,43.82,99.23,3302.94,3301.22,3301.42,3244.68,12.86,37.94,39.02,1513.2,136.67,39.86,27.22,0.45,1048324,,1069691,
,,,"378,178","58,374","230,161","10,671","305,992","27,990","69,765","1,121",83.06,49.74,33.46,11.56,502745.45,274275.55,324214.73,497229.36,124567.82,215901.64,94053.55,486558.36,24.16,80.89,26.97,97.21,3301.62,3302.55,3301.33,3561.79,26.51,715.32,104.61,2602.11,92.68,8.48,21.13,0.32,,,,
