dataset_name,sensitive_name,classifier_name,tot_inputs_aFairAMGA,tot_inputs_bExpGA,tot_inputs_cSBFT,tot_inputs_dAEQUITAS,disc_inputs_aFairAMGA,disc_inputs_bExpGA,disc_inputs_cSBFT,disc_inputs_dAEQUITAS,disc_rate_aFairAMGA,disc_rate_bExpGA,disc_rate_cSBFT,disc_rate_dAEQUITAS,total_generated_aFairAMGA,total_generated_bExpGA,total_generated_cSBFT,total_generated_dAEQUITAS,duplicates_aFairAMGA,duplicates_bExpGA,duplicates_cSBFT,duplicates_dAEQUITAS,duplication_rate_aFairAMGA,duplication_rate_bExpGA,duplication_rate_cSBFT,duplication_rate_dAEQUITAS,elapsed_time_aFairAMGA,elapsed_time_bExpGA,elapsed_time_cSBFT,elapsed_time_dAEQUITAS,time_to_1000_disc_aFairAMGA,time_to_1000_disc_bExpGA,time_to_1000_disc_cSBFT,time_to_1000_disc_dAEQUITAS,egs_aFairAMGA,egs_bExpGA,egs_cSBFT,egs_dAEQUITAS,inference_count_aFairAMGA,inference_count_bExpGA,inference_count_cSBFT,inference_count_dAEQUITAS
bank,age,DecisionTreeClassifier,755500,524228,769165,11951,738710,401922,329068,3688,97.78,76.67,42.78,31.9,1000000,1000006,1000090,1037733,244500,475777,230925,1025782,24.45,47.58,23.09,98.85,314.18,1003.76,670.26,168.29,0.69,4.21,2.17,45.3,2419.64,412.01,490.95,22.22,4582235,,7437555,
bank,age,LogisticRegression,659530,509582,701602,4553,555484,247954,247972,123,84.23,48.66,35.34,2.11,1000000,1000014,1000090,122653,340470,490432,298488,118100,34.05,49.04,29.85,96.21,209.29,771.04,510.63,55.78,1,6.61,6.62,,2656.76,334.57,485.66,1.75,3178875,,7856575.5,
bank,age,RandomForestClassifier,245279,54734,129660,9817,240684,42416,69186,3812,98.13,77.45,53.36,39.58,327967,103943,168578,1031811,82687,49209,38917,1021993,25.22,47.36,23.09,99.05,3301.68,3301.67,3300.73,3567.44,21.38,109.69,50.78,1235.34,72.9,12.85,20.96,1.1,1184138,,1215494.75,
bank,age,SVC,782004,336515,736061,9404,682151,199527,316093,1043,87.23,59.07,42.93,9.58,1000000,665142,979518,434464,217996,328627,243457,425060,21.8,49.42,24.85,97.6,1333.19,3276.56,2771.91,708.99,5.18,292.48,21.09,530.65,513.84,61.17,115.78,1.34,3226458,,6859878,
bank,age,Sequential,240782,21098,107580,9326,219696,12212,39343,2350,91.24,63.27,36.5,25.28,319400,80467,141212,723339,78618,59368,33632,714012,24.61,81.85,23.82,98.71,3302.07,3305.4,3301.51,5725.59,41.76,695.11,175.09,2297.69,66.53,3.7,11.92,0.42,1068246,,1093714.75,
bank,marital,DecisionTreeClassifier,757718,523203,769119,11302,748034,392747,394157,3742,98.72,75.07,51.25,33.41,1000000,1000049,1000090,1039176,242282,476846,230971,1027874,24.23,47.68,23.1,98.91,173.21,325.76,303.84,77.27,0.35,3.45,1.02,26.97,4323.9,1214.95,1297.41,49.81,1727647,,2691001.75,
bank,marital,LogisticRegression,653780,508947,692388,3991,528367,226577,241884,110,80.83,44.53,34.94,2.23,1000000,1000138,1000090,97614,346220,491191,307702,93622,34.62,49.11,30.77,96.17,127.28,240.99,243.83,18.12,0.51,3.6,3.7,,4153,948.37,992.04,5.06,1702546,,2881781.75,
bank,marital,RandomForestClassifier,517171,177835,332632,16266,489334,109253,124131,3172,94.67,61.39,37.32,19.57,696267,342708,432608,1030452,179096,164872,99976,1014185,25.7,48.1,23.11,98.42,3301.1,3300.91,3301.19,2617.68,14.05,63.99,39.5,794.5,148.23,33.1,37.6,1.23,1179550,,1196679,
bank,marital,SVC,766082,477343,687570,2986,597153,163493,219363,79,77.97,34.06,31.88,2.07,1000000,1000036,1000090,78671,233918,522693,312520,75685,23.39,52.27,31.25,95.88,745.6,1934.65,1214.71,79.26,3.43,579.01,21.27,,801.39,85.78,183.12,0.84,1943684,,2882250.5,
bank,marital,Sequential,423684,51501,271990,7455,322364,17552,75612,620,76.09,31.98,27.8,8.32,598200,289611,373262,306816,174516,238110,101273,299361,29.17,85.83,27.13,97.58,3301.21,3301.66,3301.09,1799.58,21.95,1032.16,120.17,,97.65,5.32,22.91,0.35,1071117,,1081544.5,
census,age,DecisionTreeClassifier,790127,563951,806481,7267,788045,526596,567391,5275,99.74,93.38,70.35,73.14,1000000,1000003,1000060,1083941,209873,436052,193579,1076674,20.99,43.61,19.36,99.33,162.01,695.1,484.28,59.16,0.31,2.77,0.82,17.21,4869.42,773.6,1171.68,92.05,1600157,,5098434,
census,age,LogisticRegression,801753,561715,806014,13512,763947,383167,390049,4059,95.29,68.21,48.39,30.02,1000000,1000038,1000060,968063,198247,438323,194046,954551,19.82,43.83,19.4,98.6,220.93,709.38,483.32,118.5,0.65,3.84,1.85,34.63,3468.37,559.9,807.55,34.08,3537627,,7361812,
census,age,RandomForestClassifier,600683,81316,182661,8353,599254,70420,117969,5013,99.76,86.56,64.58,61.8,763300,144102,226498,1054473,162617,62786,43837,1046120,21.3,43.57,19.35,99.21,3301.11,3302.75,3301.5,1552.05,11.21,71.7,30.7,588.53,181.53,21.32,35.73,3.64,1195146,,1214892.2,
census,age,SVC,815255,269828,720962,10630,706006,141487,284151,1807,86.61,52.28,39.35,14.98,1000000,482301,930446,506604,184745,212473,209485,495975,18.47,44.05,22.53,97.76,1786.13,3300.92,3301.55,700.39,6.59,568.13,28.38,376.5,397.02,42.86,86.07,2.38,3903520,,6982378.4,
